text,label,language,subcategory,term_used
I like this article कुकुर्नी,0,nepali,dehumanizing,कुकुर्नी
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
timi dekhai de मिच्यो मोस,1,tamang,contexts,मिच्यो मोस
hey photo patha nangin,1,romanized_nepali,sexualized,nangin
timi हड्डी ho timi,1,nepali,body_shaming,हड्डी
yo manche m u j i   m e n t a l i t y haru sabai,1,romanized_nepali,hybrid,muji mentality
Ramro kam gareko chau,0,mixed,neutral,
The meeting is scheduled for Monday हड्डी,0,nepali,body_shaming,हड्डी
timi photo patha s.l.u.t. .j.a.s.t.o,1,romanized_nepali,hybrid,slut jasto
Thank you for your help,0,mixed,neutral,
timi c.h.e.a.p. .x.a chau,1,romanized_nepali,contextual_phrases,cheap xa
मुजी mentality,1,nepali,slurs,मुजी
We will meet tomorrow at 10am,0,mixed,neutral,
I like this article,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
she dekhai de गौरिनी,1,tharu,gendered,गौरिनी
yo manche send 3@$y ch@ photo,1,romanized_nepali,contextual_phrases,easy cha
hey ma timro टोरी hoina ni,1,nepali,strong_slurs,टोरी
The meeting is scheduled for Monday,0,mixed,neutral,
Malaai yo kurama sanchai lagyo कुतिया,0,nepali,gendered_insults,कुतिया
Can you share the document?,0,mixed,neutral,
Please send the report by Friday tori,0,romanized_nepali,slurs,tori
hey dekhai de c h a n d i,1,romanized_nepali,slurs,chandi
hey kutia mentality,1,romanized_nepali,dehumanizing,kutia
she timilai टोरी jasto lagcha,1,nepali,strong_slurs,टोरी
Ramro kam gareko chau,0,mixed,neutral,
dekhai de b.e.s.y.a,1,romanized_nepali,gendered_insults,besya
yo manche dekhai de c.h.i.m.m.a.t.i,1,romanized_nepali,body_shaming,chimmati
hey photo patha r@nd1,1,romanized_nepali,slurs,randi
How are you?,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
yo manche स्यालनी jasto ho,1,nepali,slurs,स्यालनी
timi ma timro यस्ती केटी hoina ni,1,nepali,contextual_phrases,यस्ती केटी
timi रातमा लैजाने mentality,1,nepali,coercive_threat,रातमा लैजाने
Ramro kam gareko chau,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
I like this article,0,mixed,neutral,
u look like ङा नाङ्छे,1,tamang,contexts,ङा नाङ्छे
yo manche r.a.n.d.i. .m.i.n.d.s.e.t haru sabai,1,romanized_nepali,hybrid,randi mindset
Kehi khana khana jane?,0,mixed,neutral,
Can you share the document?,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
मखु jasto behave gareki,1,newari,gendered,मखु
How are you? चण्डी,0,nepali,slurs,चण्डी
Kehi khana khana jane?,0,mixed,neutral,
I like this article,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
timi timilai छुँदै छुँदै jasto lagcha,1,nepali,coercive_threat,छुँदै छुँदै
Kehi khana khana jane? kali,0,romanized_nepali,gendered_insults,kali
she कुकुर्नी haru sabai,1,nepali,dehumanizing,कुकुर्नी
timi बलात्कार गर्ने haru sabai,1,nepali,coercive_threat,बलात्कार गर्ने
Kehi khana khana jane?,0,mixed,neutral,
timilai tori jasto lagcha,1,romanized_nepali,slurs,tori
u look like मुजी,1,nepali,slurs,मुजी
That is a beautiful picture,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
hey u look like स्यालनी,1,nepali,slurs,स्यालनी
timi timi भ्याग्री chau,1,nepali,slurs,भ्याग्री
The meeting is scheduled for Monday,0,mixed,neutral,
yo manche छुँदै छुँदै ho timi,1,nepali,coercive_threat,छुँदै छुँदै
u कुकुर्नी jasto ho,1,nepali,dehumanizing,कुकुर्नी
That is a beautiful picture bhendi,0,romanized_nepali,dehumanizing,bhendi
timi ma timro मिच्यो मोस hoina ni,1,tamang,contexts,मिच्यो मोस
Please send the report by Friday,0,mixed,neutral,
timilai s.y.a.l.n.i jasto lagcha,1,romanized_nepali,slurs,syalni
she u look like k.a.s.t.o. .a.t.t.i.t.u.d.e,1,romanized_nepali,contextual_phrases,kasto attitude
That is a beautiful picture छुँदै छुँदै,0,nepali,coercive_threat,छुँदै छुँदै
u c.h.i.m.m.a.t.i ho timi,1,romanized_nepali,body_shaming,chimmati
timi छिनाल chau,1,nepali,dehumanizing,छिनाल
Can you share the document?,0,mixed,neutral,
u timi काली chau,1,nepali,body_shaming,काली
Kehi khana khana jane?,0,mixed,neutral,
The meeting is scheduled for Monday kutia,0,romanized_nepali,dehumanizing,kutia
Ramro kam gareko chau,0,mixed,neutral,
Ramro kam gareko chau bhyagri,0,romanized_nepali,slurs,bhyagri
hey timilai यस्ती केटी jasto lagcha,1,nepali,contextual_phrases,यस्ती केटी
Kehi khana khana jane?,0,mixed,neutral,
hey timi f@t@h@ chau,1,romanized_nepali,slurs,fataha
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
yo manche timilai गौरिनी jasto lagcha,1,tharu,gendered,गौरिनी
c.h.i.m.m.a.t.i mindset,1,romanized_nepali,body_shaming,chimmati
u look like राँडी,1,nepali,slurs,राँडी
hey timilai थ्वसा jasto lagcha,1,newari,gendered,थ्वसा
Thank you for your help kasto attitude,0,romanized_nepali,contextual_phrases,kasto attitude
Can you share the document? haddi,0,romanized_nepali,body_shaming,haddi
timi timilai स्यालनी jasto lagcha,1,nepali,slurs,स्यालनी
hey dekhai de कुकुर्नी,1,nepali,dehumanizing,कुकुर्नी
We will meet tomorrow at 10am,0,mixed,neutral,
hey u look like ल्होकी,1,tamang,gendered,ल्होकी
send फटाहा photo,1,nepali,strong_slurs,फटाहा
u look like राँडी,1,nepali,slurs,राँडी
Kehi khana khana jane?,0,mixed,neutral,
she send b-a-l-a-t-k-a-r- -g-a-r-n-e photo,1,romanized_nepali,coercive_threat,balatkar garne
Can you share the document?,0,mixed,neutral,
timi chhinal jasto ho,1,romanized_nepali,dehumanizing,chhinal
hey send k u t i a photo,1,romanized_nepali,gendered_insults,kutia
Tapaiko din kasto garyo?,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo कुतिया,0,nepali,dehumanizing,कुतिया
timi send मिच्यो मोस photo,1,tamang,contexts,मिच्यो मोस
u look like मोटी,1,nepali,body_shaming,मोटी
Please send the report by Friday,0,mixed,neutral,
u timilai nanginu jasto lagcha,1,romanized_nepali,sexual_phrases,nanginu
काली mentality,1,nepali,gendered_insults,काली
timi ल्होकी mentality,1,tamang,gendered,ल्होकी
u r-a-n-d-i jasto ho,1,romanized_nepali,strong_slurs,randi
yo manche timilai देखाइदे jasto lagcha,1,nepali,sexual_phrases,देखाइदे
hey u look like kukurni,1,romanized_nepali,dehumanizing,kukurni
That is a beautiful picture लाम्बा,0,tamang,slurs,लाम्बा
dekhai de h a d d i,1,romanized_nepali,body_shaming,haddi
hey dekhai de उमेर हेरेर बस,1,nepali,contextual_phrases,उमेर हेरेर बस
hey मोटी jasto ho,1,nepali,gendered_insults,मोटी
We will meet tomorrow at 10am,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
yo manche थ्वसा भाय mindset,1,newari,contexts,थ्वसा भाय
timi u look like c.h.h.u.d.a.i. .c.h.h.u.d.a.i,1,romanized_nepali,coercive_threat,chhudai chhudai
timilai t-o-r-i jasto lagcha,1,romanized_nepali,slurs,tori
Ramro kam gareko chau,0,mixed,neutral,
u send b e h a v e   g a r   n a photo,1,romanized_nepali,contextual_phrases,behave gar na
I like this article,0,mixed,neutral,
hey u look like कुकुर्नी,1,nepali,dehumanizing,कुकुर्नी
she b-e-s-y-a ho timi,1,romanized_nepali,gendered_insults,besya
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
she timi c.h.h.u.d.a.i. .c.h.h.u.d.a.i chau,1,romanized_nepali,coercive_threat,chhudai chhudai
Can you share the document?,0,mixed,neutral,
How are you?,0,mixed,neutral,
I like this article,0,mixed,neutral,
Kehi khana khana jane? थ्वसा भाय,0,newari,contexts,थ्वसा भाय
Thank you for your help,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
I like this article,0,mixed,neutral,
hey ma timro स्टाटस हेर्दा नै थाहा हुन्छ hoina ni,1,nepali,contextual_phrases,स्टाटस हेर्दा नै थाहा हुन्छ
Kehi khana khana jane?,0,mixed,neutral,
timilai dherai dekhauxa jasto lagcha,1,romanized_nepali,contextual_phrases,dherai dekhauxa
k-a-s-t-o- -a-t-t-i-t-u-d-e ho timi,1,romanized_nepali,contextual_phrases,kasto attitude
yo manche m o t i jasto ho,1,romanized_nepali,gendered_insults,moti
u photo patha t.o.r.i,1,romanized_nepali,slurs,tori
she बलात्कार गर्ने mindset,1,nepali,coercive_threat,बलात्कार गर्ने
u मुजी mentality,1,nepali,slurs,मुजी
Please send the report by Friday,0,mixed,neutral,
How are you?,0,mixed,neutral,
yo manche send टोरी photo,1,nepali,slurs,टोरी
Can you share the document?,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
We will meet tomorrow at 10am फटाहा,0,nepali,slurs,फटाहा
Kehi khana khana jane?,0,mixed,neutral,
We will meet tomorrow at 10am न्ह्याकुसा,0,newari,slurs,न्ह्याकुसा
timi c h h u d a i   c h h u d a i chau,1,romanized_nepali,coercive_threat,chhudai chhudai
How are you?,0,mixed,neutral,
she काली ho timi,1,nepali,body_shaming,काली
hey u look like b@l@tk@r g@rn3,1,romanized_nepali,coercive_threat,balatkar garne
Ramro kam gareko chau,0,mixed,neutral,
Please send the report by Friday dekhaide,0,romanized_nepali,sexualized,dekhaide
मखु mindset,1,newari,gendered,मखु
That is a beautiful picture,0,mixed,neutral,
timi u look like देखाइदे,1,nepali,sexualized,देखाइदे
u kvkvrn1 jasto behave gareki,1,romanized_nepali,gendered_insults,kukurni
she timi m u j i   m e n t a l i t y chau,1,romanized_nepali,hybrid,muji mentality
timi स्यालनी chau,1,nepali,slurs,स्यालनी
timi ch@nd1 jasto ho,1,romanized_nepali,slurs,chandi
u timilai n.a.n.g.i.n jasto lagcha,1,romanized_nepali,sexualized,nangin
hey send s.y.a.l.n.i photo,1,romanized_nepali,slurs,syalni
Thank you for your help,0,mixed,neutral,
थोमा jasto behave gareki,1,tamang,gendered,थोमा
timi छिनार jasto ho,1,bhojpuri,slurs,छिनार
I like this article थ्वसा भाय,0,newari,contexts,थ्वसा भाय
That is a beautiful picture,0,mixed,neutral,
u मोटी mentality,1,nepali,body_shaming,मोटी
u रातमा लैजाने ho timi,1,nepali,coercive_threat,रातमा लैजाने
Can you share the document? raatma laijane,0,romanized_nepali,coercive_threat,raatma laijane
I like this article easy cha,0,romanized_nepali,contextual_phrases,easy cha
u look like मिच्यो मोस,1,tamang,contexts,मिच्यो मोस
केटाजस्तो बिहेव ho timi,1,nepali,contextual_phrases,केटाजस्तो बिहेव
photo patha न्ह्याकुसा,1,newari,slurs,न्ह्याकुसा
Ramro kam gareko chau,0,mixed,neutral,
मुजी haru sabai,1,nepali,slurs,मुजी
Ramro kam gareko chau,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
timi timi कुतिया chau,1,nepali,dehumanizing,कुतिया
hey मुजी jasto ho,1,nepali,slurs,मुजी
Can you share the document?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
yo manche dekhai de k.h.a.n. .d.e,1,romanized_nepali,sexual_phrases,khan de
Can you share the document?,0,mixed,neutral,
yo manche timi जेट्ठी chau,1,nepali,dehumanizing,जेट्ठी
Tapaiko din kasto garyo?,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
hey m u j i haru sabai,1,romanized_nepali,slurs,muji
c h h i n a l jasto ho,1,romanized_nepali,dehumanizing,chhinal
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
timi cheap xa ho timi,1,romanized_nepali,contextual_phrases,cheap xa
How are you?,0,mixed,neutral,
hey चण्डी jasto ho,1,nepali,slurs,चण्डी
photo patha k-a-l-i,1,romanized_nepali,body_shaming,kali
hey e-a-s-y- -x-a jasto ho,1,romanized_nepali,hybrid,easy xa
I like this article मुजी,0,nepali,slurs,मुजी
timi timilai t0r1 jasto lagcha,1,romanized_nepali,slurs,tori
We will meet tomorrow at 10am,0,mixed,neutral,
she c h a n d i jasto behave gareki,1,romanized_nepali,slurs,chandi
Thank you for your help,0,mixed,neutral,
u लाम्बा ho timi,1,tamang,slurs,लाम्बा
f@t@h@ mindset,1,romanized_nepali,slurs,fataha
How are you?,0,mixed,neutral,
hey c.h.a.n.d.i jasto behave gareki,1,romanized_nepali,slurs,chandi
That is a beautiful picture,0,mixed,neutral,
I like this article,0,mixed,neutral,
Can you share the document?,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
How are you?,0,mixed,neutral,
u k-a-s-t-o- -a-t-t-i-t-u-d-e haru sabai,1,romanized_nepali,contextual_phrases,kasto attitude
Ramro kam gareko chau,0,mixed,neutral,
hey खान दे jasto ho,1,nepali,sexual_phrases,खान दे
yo manche u look like मोटी,1,nepali,body_shaming,मोटी
Can you share the document?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
timi चण्डी mindset,1,nepali,slurs,चण्डी
मखु jasto ho,1,newari,gendered,मखु
timi b.h.y.a.g.r.i chau,1,romanized_nepali,slurs,bhyagri
That is a beautiful picture,0,mixed,neutral,
hey timi निकार chau,1,bhojpuri,gendered,निकार
Kehi khana khana jane?,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
How are you? kali,0,romanized_nepali,body_shaming,kali
Kehi khana khana jane?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
she बेंकी mindset,1,tharu,slurs,बेंकी
send tori photo,1,romanized_nepali,slurs,tori
yo manche timi चण्डी chau,1,nepali,slurs,चण्डी
timi m-u-j-i ho timi,1,romanized_nepali,slurs,muji
u काली jasto behave gareki,1,nepali,body_shaming,काली
The meeting is scheduled for Monday,0,mixed,neutral,
timilai slut jasto jasto lagcha,1,romanized_nepali,hybrid,slut jasto
Thank you for your help,0,mixed,neutral,
I like this article,0,mixed,neutral,
How are you? छिनाल,0,nepali,dehumanizing,छिनाल
Please send the report by Friday haddi,0,romanized_nepali,body_shaming,haddi
Ramro kam gareko chau,0,mixed,neutral,
hey 3@$y x@ haru sabai,1,romanized_nepali,hybrid,easy xa
chh1n@l mentality,1,romanized_nepali,dehumanizing,chhinal
The meeting is scheduled for Monday,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
she photo patha कुतिया,1,nepali,dehumanizing,कुतिया
yo manche देखाइदे mentality,1,nepali,sexualized,देखाइदे
How are you?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
timilai c h e a p   x a jasto lagcha,1,romanized_nepali,contextual_phrases,cheap xa
timi d.e.k.h.a.i. .d.e haru sabai,1,romanized_nepali,sexual_phrases,dekhai de
send k.u.t.i.a photo,1,romanized_nepali,gendered_insults,kutia
timi send छुँदै छुँदै photo,1,nepali,coercive_threat,छुँदै छुँदै
Kehi khana khana jane?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
r-a-n-d-i ho timi,1,romanized_nepali,slurs,randi
Tapaiko din kasto garyo?,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
she dekhai de मोटकी,1,bhojpuri,gendered,मोटकी
Thank you for your help,0,mixed,neutral,
खान दे haru sabai,1,nepali,sexualized,खान दे
Thank you for your help haddi,0,romanized_nepali,body_shaming,haddi
hey u look like mvj1,1,romanized_nepali,slurs,muji
Kehi khana khana jane?,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
c.h.a.n.d.i jasto ho,1,romanized_nepali,slurs,chandi
hey ma timro रातमा लैजाने hoina ni,1,nepali,sexual_phrases,रातमा लैजाने
she s l u t   j a s t o mindset,1,romanized_nepali,hybrid,slut jasto
hey u look like मुजी,1,nepali,slurs,मुजी
timi u look like देखाइदे,1,nepali,sexual_phrases,देखाइदे
timi chandi jasto ho,1,romanized_nepali,slurs,chandi
Ramro kam gareko chau,0,mixed,neutral,
hey फटाहा mindset,1,nepali,strong_slurs,फटाहा
yo manche k-a-l-i jasto behave gareki,1,romanized_nepali,body_shaming,kali
Tapaiko din kasto garyo?,0,mixed,neutral,
yo manche u look like राँडी,1,nepali,slurs,राँडी
Thank you for your help नांगीन,0,nepali,sexualized,नांगीन
send यस्ती केटी photo,1,nepali,contextual_phrases,यस्ती केटी
I like this article,0,mixed,neutral,
u करमी mentality,1,bhojpuri,gendered,करमी
hey m.o.t.i jasto behave gareki,1,romanized_nepali,body_shaming,moti
How are you?,0,mixed,neutral,
hey timilai देखाइदे jasto lagcha,1,nepali,sexual_phrases,देखाइदे
We will meet tomorrow at 10am,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Can you share the document?,0,mixed,neutral,
she रातमा लैजाने jasto behave gareki,1,nepali,coercive_threat,रातमा लैजाने
yo manche u look like sutnesani,1,romanized_nepali,sexualized,sutnesani
photo patha कती बोलछौ,1,tharu,contexts,कती बोलछौ
I like this article,0,mixed,neutral,
hey खान दे haru sabai,1,nepali,sexualized,खान दे
timi bhy@gr1 jasto ho,1,romanized_nepali,slurs,bhyagri
That is a beautiful picture,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
timi photo patha b-h-y-a-g-r-i,1,romanized_nepali,slurs,bhyagri
Please send the report by Friday तोहार बात बहुत खराब,0,tharu,contexts,तोहार बात बहुत खराब
ma timro बेंकी hoina ni,1,tharu,slurs,बेंकी
Ramro kam gareko chau,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
yo manche send भेंडी photo,1,nepali,strong_slurs,भेंडी
she dekhai de सुत्नेसनी,1,nepali,sexualized,सुत्नेसनी
timi थ्वसा भाय chau,1,newari,contexts,थ्वसा भाय
The meeting is scheduled for Monday,0,mixed,neutral,
Malaai yo kurama sanchai lagyo चण्डी,0,nepali,slurs,चण्डी
Please send the report by Friday,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
How are you? फटाहा,0,nepali,slurs,फटाहा
u u look like मुजी,1,nepali,strong_slurs,मुजी
she फटाहा mentality,1,nepali,slurs,फटाहा
The meeting is scheduled for Monday जादे बोलतारी,0,bhojpuri,contexts,जादे बोलतारी
Thank you for your help,0,mixed,neutral,
photo patha d.e.k.h.a.i.d.e,1,romanized_nepali,sexualized,dekhaide
yo manche timilai स्यालनी jasto lagcha,1,nepali,slurs,स्यालनी
बलात्कार गर्ने mindset,1,nepali,coercive_threat,बलात्कार गर्ने
Please send the report by Friday,0,mixed,neutral,
Malaai yo kurama sanchai lagyo chhinal,0,romanized_nepali,dehumanizing,chhinal
The meeting is scheduled for Monday,0,mixed,neutral,
u ma timro k u k u r n i hoina ni,1,romanized_nepali,dehumanizing,kukurni
The meeting is scheduled for Monday,0,mixed,neutral,
How are you?,0,mixed,neutral,
How are you? फटाहा,0,nepali,strong_slurs,फटाहा
I like this article,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
she फटाहा jasto ho,1,nepali,slurs,फटाहा
That is a beautiful picture,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
How are you?,0,mixed,neutral,
yo manche send टोरी photo,1,nepali,slurs,टोरी
Ramro kam gareko chau,0,mixed,neutral,
That is a beautiful picture मोटी,0,nepali,body_shaming,मोटी
Kehi khana khana jane?,0,mixed,neutral,
u r.a.a.t. .m.a. .l.a.i.j.a.n.e jasto behave gareki,1,romanized_nepali,sexual_phrases,raat ma laijane
We will meet tomorrow at 10am,0,mixed,neutral,
Please send the report by Friday थ्वसा,0,newari,gendered,थ्वसा
photo patha muji,1,romanized_nepali,strong_slurs,muji
photo patha r@nd1,1,romanized_nepali,slurs,randi
फटाहा mindset,1,nepali,strong_slurs,फटाहा
timilai मिच्यो मोस jasto lagcha,1,tamang,contexts,मिच्यो मोस
That is a beautiful picture नांगीन,0,nepali,sexualized,नांगीन
u n.a.n.g.i.n jasto ho,1,romanized_nepali,sexualized,nangin
u timi टोरी chau,1,nepali,slurs,टोरी
she फटाहा mentality,1,nepali,slurs,फटाहा
yo manche u look like रांड,1,bhojpuri,slurs,रांड
send d h e r a i   d e k h a u x a photo,1,romanized_nepali,contextual_phrases,dherai dekhauxa
timi r@nd1 jasto behave gareki,1,romanized_nepali,strong_slurs,randi
How are you?,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
Can you share the document? कुकुर्नी,0,nepali,dehumanizing,कुकुर्नी
she बलात्कार गर्ने mindset,1,nepali,coercive_threat,बलात्कार गर्ने
yo manche कती बोलछौ ho timi,1,tharu,contexts,कती बोलछौ
timilai बेंकी jasto lagcha,1,tharu,slurs,बेंकी
That is a beautiful picture स्यालनी,0,nepali,strong_slurs,स्यालनी
We will meet tomorrow at 10am,0,mixed,neutral,
she u look like m.o.t.i,1,romanized_nepali,gendered_insults,moti
Please send the report by Friday,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
yo manche तागी mindset,1,tamang,slurs,तागी
That is a beautiful picture khan de,0,romanized_nepali,sexualized,khan de
Malaai yo kurama sanchai lagyo केटाजस्तो बिहेव,0,nepali,contextual_phrases,केटाजस्तो बिहेव
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
मोटी ho timi,1,nepali,body_shaming,मोटी
u send b h e n d i photo,1,romanized_nepali,dehumanizing,bhendi
I like this article,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
yo manche $lvt j@$t0 jasto behave gareki,1,romanized_nepali,hybrid,slut jasto
hey photo patha कती बोलछौ,1,tharu,contexts,कती बोलछौ
स्यालनी mentality,1,nepali,slurs,स्यालनी
u मोटकी jasto behave gareki,1,bhojpuri,gendered,मोटकी
Please send the report by Friday,0,mixed,neutral,
उमेर हेरेर बस jasto behave gareki,1,nepali,contextual_phrases,उमेर हेरेर बस
Thank you for your help,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
timi d.h.e.r.a.i. .d.e.k.h.a.u.x.a ho timi,1,romanized_nepali,contextual_phrases,dherai dekhauxa
timi c.h.h.u.d.a.i. .c.h.h.u.d.a.i mentality,1,romanized_nepali,coercive_threat,chhudai chhudai
नांगीन ho timi,1,nepali,gendered_insults,नांगीन
Can you share the document?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
How are you?,0,mixed,neutral,
yo manche ma timro स्यालनी hoina ni,1,nepali,slurs,स्यालनी
Kehi khana khana jane?,0,mixed,neutral,
u भेंडी jasto behave gareki,1,nepali,dehumanizing,भेंडी
Can you share the document?,0,mixed,neutral,
photo patha k.u.t.i.a,1,romanized_nepali,gendered_insults,kutia
Can you share the document?,0,mixed,neutral,
timi कउटी haru sabai,1,tharu,gendered,कउटी
Tapaiko din kasto garyo?,0,mixed,neutral,
How are you?,0,mixed,neutral,
yo manche m-o-t-i jasto ho,1,romanized_nepali,body_shaming,moti
I like this article tori,0,romanized_nepali,slurs,tori
Thank you for your help balatkar garne,0,romanized_nepali,coercive_threat,balatkar garne
Ramro kam gareko chau,0,mixed,neutral,
yo manche send कुतिया photo,1,nepali,dehumanizing,कुतिया
Please send the report by Friday,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
timi k.h.a.n. .d.e haru sabai,1,romanized_nepali,sexual_phrases,khan de
she timi b.h.e.n.d.i chau,1,romanized_nepali,dehumanizing,bhendi
u photo patha c h h u d a i   c h h u d a i,1,romanized_nepali,coercive_threat,chhudai chhudai
Can you share the document?,0,mixed,neutral,
yo manche m o t i ho timi,1,romanized_nepali,body_shaming,moti
hey u look like d-e-k-h-a-i- -d-e,1,romanized_nepali,sexual_phrases,dekhai de
Kehi khana khana jane?,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
timi k-u-k-u-r-n-i jasto ho,1,romanized_nepali,dehumanizing,kukurni
How are you?,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
yo manche चण्डी ho timi,1,nepali,slurs,चण्डी
Ramro kam gareko chau,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
I like this article कुतिया,0,nepali,dehumanizing,कुतिया
u timi देखाइदे chau,1,nepali,sexual_phrases,देखाइदे
Malaai yo kurama sanchai lagyo फटाहा,0,nepali,strong_slurs,फटाहा
u u look like देखाइदे,1,nepali,sexualized,देखाइदे
yo manche b.h.y.a.g.r.i jasto ho,1,romanized_nepali,slurs,bhyagri
yo manche मोटी haru sabai,1,nepali,gendered_insults,मोटी
I like this article,0,mixed,neutral,
Can you share the document?,0,mixed,neutral,
Can you share the document?,0,mixed,neutral,
photo patha सुत्नेसनी,1,nepali,sexualized,सुत्नेसनी
Please send the report by Friday,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
send c.h.h.u.d.a.i. .c.h.h.u.d.a.i photo,1,romanized_nepali,coercive_threat,chhudai chhudai
hey रातमा लैजाने haru sabai,1,nepali,coercive_threat,रातमा लैजाने
खान दे mindset,1,nepali,sexualized,खान दे
u timilai m-o-t-i jasto lagcha,1,romanized_nepali,gendered_insults,moti
Thank you for your help,0,mixed,neutral,
u चिम्मटी mindset,1,nepali,body_shaming,चिम्मटी
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
We will meet tomorrow at 10am ङा नाङ्छे,0,tamang,contexts,ङा नाङ्छे
u r.a.n.d.i. .m.i.n.d.s.e.t ho timi,1,romanized_nepali,hybrid,randi mindset
I like this article,0,mixed,neutral,
Malaai yo kurama sanchai lagyo कुतिया,0,nepali,dehumanizing,कुतिया
ma timro bhyagri hoina ni,1,romanized_nepali,slurs,bhyagri
yo manche t o r i jasto ho,1,romanized_nepali,slurs,tori
send chimmati photo,1,romanized_nepali,body_shaming,chimmati
Thank you for your help,0,mixed,neutral,
Can you share the document? dherai dekhauxa,0,romanized_nepali,contextual_phrases,dherai dekhauxa
I like this article,0,mixed,neutral,
timi m.o.t.i mindset,1,romanized_nepali,body_shaming,moti
Kehi khana khana jane?,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
That is a beautiful picture रातमा लैजाने,0,nepali,coercive_threat,रातमा लैजाने
Please send the report by Friday,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
इक्वासा mindset,1,newari,slurs,इक्वासा
Thank you for your help chandi,0,romanized_nepali,slurs,chandi
yo manche jetthi mentality,1,romanized_nepali,dehumanizing,jetthi
नांगीन mentality,1,nepali,sexualized,नांगीन
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
